Datum;ID;Lage;Qualität;Bemerkung;Quelle;Lange;Lat;Img
24.06.2021;999299;Maur / Zeltklub Zürich;Ausgezeichnet;;;47.34697644;8.669820959;
27.05.2021;999301;Maur / Campingplatz Naturfreunde;Ausgezeichnet;;;47.35356901;8.664003321;
24.06.2021;999301;Maur / Campingplatz Naturfreunde;Ausgezeichnet;;;47.35356901;8.664003321;
27.05.2021;999302;Maur / Campingplatz TCS;Ausgezeichnet;;;47.35601927;8.659426491;
24.06.2021;999302;Maur / Campingplatz TCS;Ausgezeichnet;;;47.35601927;8.659426491;
27.05.2021;999303;Fällanden / Jugendherberge;Ausgezeichnet;;;47.36117455;8.654222538;
24.06.2021;999303;Fällanden / Jugendherberge;Ausgezeichnet;;;47.36117455;8.654222538;
27.05.2021;999355;Fällanden / Badeplatz Rohr;Ausgezeichnet;;;47.36732638;8.653462485;
24.06.2021;999355;Fällanden / Badeplatz Rohr;Ausgezeichnet;;;47.36732638;8.653462485;
27.05.2021;999304;Greifensee / Strandbad;Ausgezeichnet;;;47.36653419;8.671345143;
24.06.2021;999304;Greifensee / Strandbad;Ausgezeichnet;;;47.36653419;8.671345143;
25.05.2021;999257;Zürich / Flussbad Au-Höngg;Ausgezeichnet;;;47.3995019;8.491244021;Zürich_Flussbad_Au Höngg_30-06.2021.jpg
30.06.2021;999257;Zürich / Flussbad Au-Höngg;Ausreichend;;;47.3995019;8.491244021;
25.05.2021;999370;Zürich / Frauenbad Stadthausquai;Ausgezeichnet;;;47.36858778;8.542125232;
30.06.2021;999370;Zürich / Frauenbad Stadthausquai;Ausgezeichnet;;;47.36858778;8.542125232;
25.05.2021;999372;Zürich / Flussbad Oberer Letten;Ausgezeichnet;;;47.38563288;8.534637376;Zürich_Flussbad_Oberer Letten_30-06.2021.jpg
30.06.2021;999372;Zürich / Flussbad Oberer Letten;Ausgezeichnet;;;47.38563288;8.534637376;
25.05.2021;999373;Zürich / Flussbad Unterer Letten;Ausgezeichnet;;;47.3892746;8.529069695;Zürich_Flussbad_Unterer Letten_30-06.2021.jpg
30.06.2021;999373;Zürich / Flussbad Unterer Letten;Ausgezeichnet;;;47.3892746;8.529069695;
25.05.2021;999371;Zürich / Männerbad Schanzengraben;Ausgezeichnet;;;47.37165137;8.533065512;
30.06.2021;999371;Zürich / Männerbad Schanzengraben;Ausgezeichnet;;;47.37165137;8.533065512;
27.05.2021;999325;Seegräben / Strandbad Seegräben;Ausgezeichnet;;;47.34572014;8.774707083;
24.06.2021;999325;Seegräben / Strandbad Seegräben;Ausgezeichnet;;;47.34572014;8.774707083;
27.05.2021;999326;Pfäffikon / Strandbad Auslikon;Ausgezeichnet;;;47.34298;8.789858274;
24.06.2021;999326;Pfäffikon / Strandbad Auslikon;Ausgezeichnet;;;47.34298;8.789858274;
27.05.2021;999327;Pfäffikon / Strandbad Baumen;Ausgezeichnet;;;47.35839446;8.785589037;
24.06.2021;999327;Pfäffikon / Strandbad Baumen;Gut;;;47.35839446;8.785589037;
07.06.2021;999333;Hausen am Albis / Strandbad;Ausgezeichnet;;;47.26560376;8.510330359;
07.06.2021;999334;Aeugst am Albis / Fischersteg;Ausgezeichnet;;;47.26590617;8.501958226;
07.06.2021;999335;Aeugst am Albis / Badeplatz Türlersee;Ausgezeichnet;;;47.27263409;8.501048075;Aeugst a. A._Badeplatz_Türlersee_07-06.2021.jpg
07.06.2021;999336;Hedingen / Badeplatz Hedingerweiher;Ausgezeichnet;;;47.29518657;8.454995059;Hedingen_Badeplatz_Hedingerweiher_07-06.2021.jpg
07.06.2021;999337;Horgen / Badeplatz Horgenerweiher;Gut;;;47.24338036;8.59904787;Horgen_Badeplatz_Horgenerweiher_07-06.2021.jpg
07.06.2021;999338;Wädenswil / Badeplatz Bachgadenweiher;Ausreichend;;;47.22325113;8.63394623;Wädenswil_Badeplatz_Bachgadenweiher_07-06.2021.jpg
28.06.2021;999338;Wädenswil / Badeplatz Bachgadenweiher;Ausgezeichnet;;;47.22325113;8.63394623;
07.06.2021;999339;Hütten / Badeplatz Hüttnersee;Ausgezeichnet;;;47.18461284;8.677484307;Hütten_Badeplatz_Hüttnersee_07-06.2021.jpg
25.05.2021;999341;Zürich / Seebad Katzensee Schwimmerbereich;Ausgezeichnet;;;47.43117587;8.492917386;
30.06.2021;999341;Zürich / Seebad Katzensee Schwimmerbereich;Ausgezeichnet;;;47.43117587;8.492917386;
25.05.2021;999378;Zürich / Seebad Katzensee Nichtschwimmerbereich;Ausgezeichnet;;;47.43134227;8.493411148;
30.06.2021;999378;Zürich / Seebad Katzensee Nichtschwimmerbereich;Ausgezeichnet;;;47.43134227;8.493411148;
25.05.2021;999342;Opfikon-Glattbrugg / Stirnseite Zürich;Ausgezeichnet;;;47.41891009;8.562278644;
25.05.2021;999343;Opfikon-Glattbrugg / Stirnseite Opfikon;Ausgezeichnet;;;47.42300288;8.565970087;
30.06.2021;999340;Niederhasli / Badeplatz Mettmenhaslisee;Ausgezeichnet;;;47.47348868;8.490823994;
