date,id,location,quality,remark,source,lat,long
2020-07-29,999308,Zürich / Flussbad Au-Höngg,Ausgezeichnet,,Kantonales Labor Zürich,8.491244021,47.3995019
2020-08-25,999308,Zürich / Flussbad Au-Höngg,Ausgezeichnet,,Kantonales Labor Zürich,8.491244021,47.3995019
2021-05-20,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2021-06-17,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2019-08-20,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2020-05-26,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2020-06-23,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2020-08-17,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2021-05-20,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2021-06-17,999267,Zollikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.568319857,47.33758878
2021-05-20,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2021-06-17,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2019-08-20,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2020-05-27,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2020-06-23,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2020-08-17,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2021-05-20,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2021-06-17,999269,Oberrieden / Strandbad,Ausgezeichnet,,Kantonales Labor Zürich,8.581744764,47.27678272
2021-05-20,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2021-06-17,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2019-07-24,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2019-08-20,999270,Thalwil / Strandbad Bürger 2,Gut,,Kantonales Labor Zürich,8.573591387,47.28993364
2020-05-27,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2020-06-23,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2020-07-20,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2020-08-17,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2021-05-20,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2021-06-17,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2021-07-15,999270,Thalwil / Strandbad Bürger 2,Ausgezeichnet,,Kantonales Labor Zürich,8.573591387,47.28993364
2021-05-20,999272,Rüschlikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.55643583,47.31291344
2021-06-17,999272,Rüschlikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.55643583,47.31291344
2019-08-20,999272,Rüschlikon / Seebad,Gut,,Kantonales Labor Zürich,8.55643583,47.31291344
2020-05-27,999272,Rüschlikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.55643583,47.31291344
2020-06-23,999272,Rüschlikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.55643583,47.31291344
2020-08-17,999272,Rüschlikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.55643583,47.31291344
2021-05-20,999272,Rüschlikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.55643583,47.31291344
2021-06-17,999272,Rüschlikon / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.55643583,47.31291344
2021-05-20,999273,Kilchberg / Seebad Schoren,Ausgezeichnet,,Kantonales Labor Zürich,8.554211951,47.31852105
2021-06-17,999273,Kilchberg / Seebad Schoren,Ausgezeichnet,,Kantonales Labor Zürich,8.554211951,47.31852105
2020-05-27,999273,Kilchberg / Seebad Schoren,Ausgezeichnet,,Kantonales Labor Zürich,8.554211951,47.31852105
